participantID,stimulusID,pleasure,arousal,dominance,openness,hominess,safety,fascination,beauty
pb05,LTHB02,5,5,4,2,2,2,3,3
pb05,LTHB16,6,4,4,2,1,3,1,1
pb05,HTLB13,7,5,6,1,1,2,1,2
pb05,LTHB09,4,6,6,3,3,4,3,4
pb05,LTHB11,6,4,4,2,2,3,2,2
pb05,HTHB10,6,6,5,2,1,2,1,1
pb05,LTLB15,3,7,6,4,5,3,4,4
pb05,HTHB04,7,3,5,2,2,2,2,2
pb05,HTLB02,3,7,7,4,5,5,3,5
pb05,HTHB17,5,4,4,3,2,3,3,2
pb05,LTLB14,7,7,6,4,5,5,5,5
pb05,HTLB25,4,7,6,5,4,3,4,4
pb05,LTHB24,6,4,4,2,2,3,2,2
pb05,LTLB24,3,7,7,4,4,4,4,4
pb05,LTLB11,3,8,7,5,5,5,5,5
pb05,LTHB07,4,6,6,4,3,4,3,4
pb05,HTHB11,7,5,5,3,1,3,1,1
pb05,LTHB14,5,4,4,1,1,3,2,2
pb05,LTLB21,5,6,6,3,3,3,2,3
pb05,LTHB18,4,4,6,4,3,2,3,3
pb05,HTLB20,4,7,7,4,4,4,4,4
pb05,HTLB05,2,8,8,5,5,5,5,5
pb05,LTHB17,4,4,4,4,2,4,4,3
pb05,LTLB04,2,7,7,5,5,5,5,5
pb05,HTHB22,8,2,3,1,1,1,2,1
pb05,LTLB02,3,6,6,4,4,4,4,4
pb05,LTLB16,4,7,6,4,4,4,4,4
pb05,HTHB12,6,3,4,1,1,3,2,1
pb05,LTLB22,6,7,6,3,2,3,1,2
pb05,HTHB07,5,4,4,3,2,4,3,2
pb05,LTLB05,4,4,6,4,4,4,4,4
pb05,LTLB13,4,4,5,4,3,4,4,4
pb05,HTLB24,3,7,7,4,4,4,4,4
pb05,HTLB12,5,7,4,2,2,4,1,2
pb05,HTLB17,6,4,6,2,1,4,1,2
pb05,LTLB12,3,7,6,4,4,4,4,4
pb05,LTHB13,4,7,6,3,2,4,3,3
pb05,LTHB01,5,4,4,4,2,4,4,3
pb05,LTLB08,4,7,7,4,3,4,3,4
pb05,HTLB19,3,8,7,4,4,4,5,4
pb05,LTLB10,3,6,6,4,4,4,4,4
pb05,HTLB18,4,6,7,3,4,4,3,3
pb05,LTHB19,4,3,5,4,3,4,4,3
pb05,HTLB09,4,7,6,4,4,4,4,4
pb05,LTHB23,4,4,6,4,2,4,4,4
pb05,HTHB25,4,5,6,3,4,4,4,4
pb05,HTHB01,4,4,5,4,2,3,3,2
pb05,LTHB12,6,4,4,2,1,3,2,3
pb05,HTLB15,3,7,7,4,5,4,4,4
pb05,HTHB03,4,4,4,4,2,4,4,3
pb05,HTHB06,6,3,4,3,1,4,2,1
pb05,HTLB07,4,7,4,4,4,4,4,4
pb05,HTLB16,5,5,6,4,2,3,3,2
pb05,LTHB15,4,4,6,3,2,4,3,3
pb05,HTHB19,7,7,4,2,2,3,1,1
pb05,HTHB14,6,4,4,3,2,2,2,2
pb05,HTLB11,2,8,7,5,5,4,4,5
pb05,LTLB17,3,8,8,5,5,5,5,4
pb05,HTHB16,7,3,5,2,1,2,1,1
pb05,HTHB18,7,3,3,2,1,1,1,1
