participantID,stimulusID,pleasure,arousal,dominance,openness,hominess,safety,fascination,beauty
pilot1,LTHB02,1,5,8,4,5,5,5,4
pilot1,LTHB16,7,6,5,3,1,4,3,1
pilot1,HTLB13,5,7,8,4,4,5,2,2
pilot1,LTHB09,2,3,8,3,4,5,5,5
pilot1,LTHB11,8,8,2,3,1,4,2,1
pilot1,HTHB10,3,7,9,5,3,5,3,2
pilot1,LTLB15,5,8,5,1,2,4,1,3
pilot1,HTHB04,3,4,7,5,2,5,4,2
pilot1,HTLB02,6,7,3,4,5,2,4,4
pilot1,HTHB17,2,2,6,5,4,4,5,4
pilot1,LTLB14,7,7,3,2,1,5,2,1
pilot1,HTLB25,2,2,8,5,5,4,5,4
pilot1,LTHB24,5,4,2,3,4,4,4,1
pilot1,LTLB24,3,2,9,2,3,5,5,2
pilot1,LTLB11,1,6,7,3,5,4,2,5
pilot1,LTHB07,1,3,9,4,5,5,5,3
pilot1,HTHB11,7,7,5,4,2,3,1,3
pilot1,LTHB14,1,1,9,5,5,5,5,5
pilot1,LTLB21,7,9,6,3,1,4,1,1
pilot1,LTHB18,9,9,1,4,1,1,5,1
pilot1,HTLB20,3,4,7,5,4,4,3,5
pilot1,HTLB05,1,1,8,5,5,5,5,5
pilot1,LTHB17,8,7,5,4,1,2,3,1
pilot1,LTLB04,7,8,2,2,1,5,2,2
pilot1,HTHB22,9,6,1,5,1,2,4,1
pilot1,LTLB02,3,3,7,3,4,5,2,4
pilot1,LTLB16,2,6,5,2,3,4,3,4
pilot1,HTHB12,9,9,3,4,1,2,3,1
pilot1,LTLB22,7,7,5,3,1,2,3,1
pilot1,HTHB07,3,3,8,5,3,5,5,5
pilot1,LTLB05,9,5,3,2,1,1,4,1
pilot1,LTLB13,3,4,5,4,3,5,5,4
pilot1,HTLB24,3,7,8,4,5,4,4,4
pilot1,HTLB12,3,6,9,3,4,5,4,2
pilot1,HTLB17,2,4,9,5,4,5,5,4
pilot1,LTLB12,7,5,3,2,1,2,2,3
pilot1,LTHB13,3,1,6,2,4,3,4,1
pilot1,LTHB01,9,6,5,4,2,2,4,1
pilot1,LTLB08,7,4,7,2,3,2,2,1
pilot1,HTLB19,2,5,3,3,5,4,5,5
pilot1,LTLB10,5,6,4,1,2,5,3,1
pilot1,HTLB18,2,3,9,5,5,5,4,5
pilot1,LTHB19,9,5,1,5,1,1,4,1
pilot1,HTLB09,4,6,5,4,5,3,4,4
pilot1,LTHB23,7,8,4,3,1,5,4,1
pilot1,HTHB25,5,5,6,5,3,3,4,3
pilot1,HTHB01,2,2,9,5,5,4,4,4
pilot1,LTHB12,3,5,8,3,1,5,4,4
pilot1,HTLB15,1,1,9,5,5,5,5,5
pilot1,HTHB03,4,3,6,5,2,3,5,3
pilot1,HTHB06,7,6,6,5,1,2,5,2
pilot1,HTLB07,5,7,6,2,4,4,3,3
pilot1,HTLB16,3,3,6,5,4,3,5,4
pilot1,LTHB15,3,2,9,3,2,5,5,5
pilot1,HTHB19,7,8,9,4,4,4,1,2
pilot1,HTHB14,7,7,5,4,4,2,5,2
pilot1,HTLB11,2,1,7,4,5,5,5,5
pilot1,LTLB17,7,8,7,1,2,5,1,1
pilot1,HTHB16,9,3,7,5,1,2,2,1
pilot1,HTHB18,5,4,3,4,1,2,5,2
