participantID,stimulusID,pleasure,arousal,dominance,openness,hominess,safety,fascination,beauty
vp04,LTHB02,3,5,7,3,4,3,5,4
vp04,LTHB16,6,5,3,3,2,4,1,2
vp04,HTLB13,8,6,3,3,1,2,1,1
vp04,LTHB09,3,4,8,2,3,5,4,4
vp04,LTHB11,8,5,7,2,1,4,1,1
vp04,HTHB10,4,7,4,3,2,3,3,2
vp04,LTLB15,1,7,9,4,4,5,4,5
vp04,HTHB04,7,3,3,2,2,2,1,2
vp04,HTLB02,2,8,8,4,5,4,4,5
vp04,HTHB17,4,7,7,3,2,4,2,3
vp04,LTLB14,2,6,7,4,4,5,3,5
vp04,HTLB25,3,8,7,4,4,4,3,5
vp04,LTHB24,5,4,4,3,2,4,3,1
vp04,LTLB24,3,6,7,4,4,4,2,4
vp04,LTLB11,3,7,7,4,4,4,3,5
vp04,LTHB07,6,5,5,3,2,3,2,3
vp04,HTHB11,7,4,7,2,2,2,2,2
vp04,LTHB14,8,4,4,2,1,2,2,1
vp04,LTLB21,4,6,6,3,2,4,3,4
vp04,LTHB18,7,3,5,2,2,1,3,2
vp04,HTLB20,5,4,5,2,2,3,2,3
vp04,HTLB05,2,9,7,2,4,4,4,5
vp04,LTHB17,7,4,5,3,1,2,4,1
vp04,LTLB04,3,5,7,3,3,5,4,4
vp04,HTHB22,8,2,3,2,1,1,2,1
vp04,LTLB02,6,4,4,3,2,4,3,4
vp04,LTLB16,3,7,6,4,3,4,2,4
vp04,HTHB12,7,3,3,2,1,2,2,1
vp04,LTLB22,8,3,3,2,2,2,3,2
vp04,HTHB07,7,5,5,3,2,3,2,2
vp04,LTLB05,6,4,5,3,2,2,4,2
vp04,LTLB13,5,6,6,3,2,4,3,2
vp04,HTLB24,3,7,7,3,4,4,2,4
vp04,HTLB12,4,7,7,2,2,4,2,3
vp04,HTLB17,5,4,5,2,1,3,1,1
vp04,LTLB12,4,8,6,4,3,3,4,4
vp04,LTHB13,5,4,4,3,1,3,2,2
vp04,LTHB01,7,4,4,3,1,3,2,2
vp04,LTLB08,4,7,6,3,4,4,2,4
vp04,HTLB19,2,8,8,3,4,4,4,5
vp04,LTLB10,3,7,7,3,4,4,2,4
vp04,HTLB18,4,6,5,2,3,3,2,4
vp04,LTHB19,7,2,5,2,1,2,3,1
vp04,HTLB09,5,6,6,3,3,4,2,3
vp04,LTHB23,7,4,2,2,1,3,2,1
vp04,HTHB25,6,3,5,2,1,3,4,4
vp04,HTHB01,8,3,2,2,1,2,3,1
vp04,LTHB12,7,3,2,2,1,2,3,1
vp04,HTLB15,3,8,7,4,4,4,3,4
vp04,HTHB03,5,4,4,2,1,3,2,2
vp04,HTHB06,5,4,4,2,1,3,2,1
vp04,HTLB07,4,6,5,3,3,3,2,4
vp04,HTLB16,6,4,6,2,1,2,3,2
vp04,LTHB15,7,5,4,2,1,2,2,1
vp04,HTHB19,6,4,4,2,2,2,1,2
vp04,HTHB14,6,4,4,3,1,2,2,2
vp04,HTLB11,1,8,8,4,5,4,3,5
vp04,LTLB17,3,4,6,3,1,3,2,3
vp04,HTHB16,6,4,5,3,1,2,2,1
vp04,HTHB18,8,2,3,2,1,1,1,1
